no,added_date,title,artist,genre,country,release_year,chart_source,chart_rank,source_type,data_confidence
1,2026.6.22,Firework,Katy Perry,Pop,US,2010,,,github_actions_cloud_reference,medium-low
2,2026.6.22,Roar,Katy Perry,Pop,US,2013,,,github_actions_cloud_reference,medium-low
3,2026.6.22,Dark Horse,Katy Perry feat. Juicy J,Trap Pop,US,2013,,,github_actions_cloud_reference,medium-low
4,2026.6.22,California Gurls,Katy Perry feat. Snoop Dogg,Dance Pop,US,2010,,,github_actions_cloud_reference,medium-low
5,2026.6.22,The One That Got Away,Katy Perry,Pop Ballad,US,2010,,,github_actions_cloud_reference,medium-low
6,2026.6.22,I Kissed a Girl,Katy Perry,Pop Rock,US,2008,,,github_actions_cloud_reference,medium-low
7,2026.6.22,Just Dance,Lady Gaga feat. Colby O'Donis,Dance Pop,US,2008,,,github_actions_cloud_reference,medium-low
8,2026.6.22,Born This Way,Lady Gaga,Dance Pop,US,2011,,,github_actions_cloud_reference,medium-low
9,2026.6.22,Paparazzi,Lady Gaga,Dance Pop,US,2008,,,github_actions_cloud_reference,medium-low
10,2026.6.22,Telephone,Lady Gaga feat. Beyonce,Dance Pop,US,2010,,,github_actions_cloud_reference,medium-low
11,2026.6.23,Alejandro,Lady Gaga,Dance Pop,US,2009,,,github_actions_cloud_reference,medium-low
12,2026.6.23,Toxic,Britney Spears,Dance Pop,US,2003,,,github_actions_cloud_reference,medium-low
13,2026.6.23,...Baby One More Time,Britney Spears,Teen Pop,US,1998,,,github_actions_cloud_reference,medium-low
14,2026.6.23,Oops!... I Did It Again,Britney Spears,Teen Pop,US,2000,,,github_actions_cloud_reference,medium-low
15,2026.6.23,Gimme More,Britney Spears,Dance Pop,US,2007,,,github_actions_cloud_reference,medium-low
16,2026.6.23,Genie in a Bottle,Christina Aguilera,Teen Pop,US,1999,,,github_actions_cloud_reference,medium-low
17,2026.6.23,Beautiful,Christina Aguilera,Pop Ballad,US,2002,,,github_actions_cloud_reference,medium-low
18,2026.6.23,Since U Been Gone,Kelly Clarkson,Pop Rock,US,2004,,,github_actions_cloud_reference,medium-low
19,2026.6.23,Stronger (What Doesn't Kill You),Kelly Clarkson,Dance Pop,US,2011,,,github_actions_cloud_reference,medium-low
20,2026.6.23,Because of You,Kelly Clarkson,Pop Ballad,US,2004,,,github_actions_cloud_reference,medium-low
21,2026.6.27,Complicated,Avril Lavigne,Pop Rock,CA,2002,,,github_actions_cloud_reference,medium-low
22,2026.6.27,Sk8er Boi,Avril Lavigne,Pop Punk,CA,2002,,,github_actions_cloud_reference,medium-low
23,2026.6.27,Girlfriend,Avril Lavigne,Pop Punk,CA,2007,,,github_actions_cloud_reference,medium-low
24,2026.6.27,Fortnight,Taylor Swift feat. Post Malone,Alt Pop,US,2024,Billboard Hot 100,,github_actions_cloud_reference,medium-low
25,2026.6.27,Used To Be Young,Miley Cyrus,Pop Ballad,US,2023,Billboard Hot 100,,github_actions_cloud_reference,medium-low
26,2026.6.27,Please Please Please,Sabrina Carpenter,Pop,US,2024,Billboard Hot 100,,github_actions_cloud_reference,medium-low
27,2026.6.27,Taste,Sabrina Carpenter,Pop Rock,US,2024,Billboard Hot 100,,github_actions_cloud_reference,medium-low
28,2026.6.27,Birds of a Feather,Billie Eilish,Alt Pop,US,2024,Billboard Hot 100,,github_actions_cloud_reference,medium-low
29,2026.6.27,What Was I Made For?,Billie Eilish,Piano Ballad,US,2023,Billboard Hot 100,,github_actions_cloud_reference,medium-low
30,2026.6.27,Houdini,Dua Lipa,Dance Pop,UK,2023,Billboard Hot 100,,github_actions_cloud_reference,medium-low
31,2026.6.27,Shivers,Ed Sheeran,Pop,UK,2021,Billboard Hot 100,,github_actions_cloud_reference,medium-low
32,2026.6.27,Snooze,SZA,R&B,US,2022,Billboard Hot 100,,github_actions_cloud_reference,medium-low
33,2026.6.27,Agora Hills,Doja Cat,Rap Pop,US,2023,Billboard Hot 100,,github_actions_cloud_reference,medium-low
34,2026.6.27,Unholy,Sam Smith & Kim Petras,Electropop,UK/DE,2022,Billboard Hot 100,,github_actions_cloud_reference,medium-low
35,2026.6.27,Lovin On Me,Jack Harlow,Rap Pop,US,2023,Billboard Hot 100,,github_actions_cloud_reference,medium-low
36,2026.6.27,First Class,Jack Harlow,Rap Pop,US,2022,Billboard Hot 100,,github_actions_cloud_reference,medium-low
37,2026.6.27,I Had Some Help,Post Malone feat. Morgan Wallen,Country Pop,US,2024,Billboard Hot 100,,github_actions_cloud_reference,medium-low
38,2026.6.27,Last Night,Morgan Wallen,Country Pop,US,2023,Billboard Hot 100,,github_actions_cloud_reference,medium-low
39,2026.6.27,A Bar Song (Tipsy),Shaboozey,Country Pop,US,2024,Billboard Hot 100,,github_actions_cloud_reference,medium-low
40,2026.6.27,Not Like Us,Kendrick Lamar,Hip-Hop,US,2024,Billboard Hot 100,,github_actions_cloud_reference,medium-low
41,2026.6.27,All I Want For Christmas Is You,Mariah Carey,Pop Ballad / Soft Pop,US/Global,2000,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
42,2026.6.27,Save Your Tears,The Weeknd & Ariana Grande,Pop Ballad / Soft Pop,US/Global,2020,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
43,2026.6.27,Someone You Loved,Lewis Capaldi,Pop Ballad / Soft Pop,US/Global,2019,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
44,2026.6.27,Die For You,The Weeknd & Ariana Grande,Pop Ballad / Soft Pop,US/Global,2023,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
45,2026.6.27,We Found Love,Rihanna Featuring Calvin Harris,Pop Ballad / Soft Pop,US/Global,2011,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
46,2026.6.27,Bleeding Love,Leona Lewis,Pop Ballad / Soft Pop,US/Global,2008,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
47,2026.6.27,You're Beautiful,James Blunt,Pop Ballad / Soft Pop,US/Global,2005,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
48,2026.6.27,Fallin',Alicia Keys,Pop Ballad / Soft Pop,US/Global,2001,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
49,2026.6.27,The Power Of Love,Celine Dion,Pop Ballad / Soft Pop,US/Global,1993,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
50,2026.6.27,"Because You Loved Me (From ""Up Close & Personal"")",Celine Dion,Pop Ballad / Soft Pop,US/Global,1996,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
51,2026.6.27,Stay With Me,Sam Smith,Pop Ballad / Soft Pop,US/Global,2014,Billboard Hot 100 archive,2,billboard_hot100_bulk_backfill,low
52,2026.6.27,Always Be My Baby,Mariah Carey,Pop Ballad / Soft Pop,US/Global,1996,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
53,2026.6.27,What Do You Mean?,Justin Bieber,Pop Ballad / Soft Pop,US/Global,2015,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
54,2026.6.27,Before You Go,Lewis Capaldi,Pop Ballad / Soft Pop,US/Global,2020,Billboard Hot 100 archive,9,billboard_hot100_bulk_backfill,low
55,2026.6.27,I Will Always Love You,Whitney Houston,Pop Ballad / Soft Pop,US/Global,1992,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
56,2026.6.27,Dreamlover,Mariah Carey,Pop Ballad / Soft Pop,US/Global,1993,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
57,2026.6.27,Love The Way You Lie,Eminem Featuring Rihanna,Pop Ballad / Soft Pop,US/Global,2010,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
58,2026.6.27,Live Your Life,T.I. Featuring Rihanna,Pop Ballad / Soft Pop,US/Global,2008,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
59,2026.6.27,Nothin' On You,B.o.B Featuring Bruno Mars,Pop Ballad / Soft Pop,US/Global,2010,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
60,2026.6.27,Crazy In Love,Beyonce Featuring Jay Z,Pop Ballad / Soft Pop,US/Global,2003,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
61,2026.6.27,You Belong With Me,Taylor Swift,Pop Ballad / Soft Pop,US/Global,2008,Billboard Hot 100 archive,2,billboard_hot100_bulk_backfill,low
62,2026.6.27,Adore You,Harry Styles,Pop Ballad / Soft Pop,US/Global,2019,Billboard Hot 100 archive,6,billboard_hot100_bulk_backfill,low
63,2026.6.27,Love Takes Time,Mariah Carey,Pop Ballad / Soft Pop,US/Global,1990,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
64,2026.6.27,"Evergreen (Love Theme From ""A Star Is Born"")",Barbra Streisand,Pop Ballad / Soft Pop,US/Global,1976,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
65,2026.6.27,Woman In Love,Barbra Streisand,Pop Ballad / Soft Pop,US/Global,1980,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
66,2026.6.27,My Life Would Suck Without You,Kelly Clarkson,Pop Ballad / Soft Pop,US/Global,2009,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
67,2026.6.27,Last Friday Night (T.G.I.F.),Katy Perry,Pop Ballad / Soft Pop,US/Global,2010,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
68,2026.6.27,Needed Me,Rihanna,Pop Ballad / Soft Pop,US/Global,2016,Billboard Hot 100 archive,7,billboard_hot100_bulk_backfill,low
69,2026.6.27,All The Man That I Need,Whitney Houston,Pop Ballad / Soft Pop,US/Global,1990,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
70,2026.6.27,Heartless,The Weeknd,Pop Ballad / Soft Pop,US/Global,2019,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
